user_id,session_id,session_path,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,stress_self_report,valence,arousal,label_file,dual_task_file,dual_task_n_probes,dual_task_mean_rt_ms,dual_task_success_rate,graphs_120s_count,graphs_30s_count,graphs_5s_count,mouse_rows,keyboard_rows,notification_rows,behavior_rows,session_duration_minutes,has_nasa_tlx,has_graphs_120s,has_mouse,has_keyboard,has_dual_task,usable
dem,session_20260521_203934_557784,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784,50.0,25.0,70.0,36.0,50.0,59.0,62.0,35.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784/raw/dual_task.csv,6.0,1578.5183333333334,1.0,16.0,61.0,361.0,34261.0,432.0,0.0,99.0,30.0,True,True,True,True,True,True
gassarra,data,/home/hefouzinho/aam_data_6_1/Data/After update/gassarra/data,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
ghoss,session_20260526_191020_35ca55,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55,90.0,50.0,20.0,70.0,70.0,40.0,40.0,50.0,60.0,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55/raw/dual_task.csv,5.0,1820.852,0.8,15.0,60.0,360.0,41225.0,1783.0,0.0,171.0,30.0,True,True,True,True,True,True
hffz,session_20260511_231045_f880e8,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8,37.0,24.0,0.0,26.0,15.0,9.0,5.0,29.0,9.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8/raw/dual_task.csv,7.0,1573.7528571428572,1.0,,61.0,361.0,29749.0,5918.0,4.0,157.0,30.0,True,False,True,True,True,False
hffz,session_20260516_105315_535a79,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79,52.0,11.0,4.0,22.0,18.0,26.0,47.0,63.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79/raw/dual_task.csv,3.0,539.93,0.3333333333333333,8.0,31.0,181.0,4296.0,204.0,0.0,15.0,14.8,True,True,True,True,True,True
hffz,session_20260520_220220_20835b,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b,58.0,28.0,79.0,22.0,43.0,78.0,75.0,14.0,8.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b/labels/dual_task.csv (empty),,,,2.0,8.0,44.0,4783.0,206.0,0.0,49.0,3.6,True,True,True,True,False,True
hffz,session_20260520_222844_7c414b,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b,76.0,27.0,92.0,34.0,65.0,73.0,60.0,22.0,51.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b/raw/dual_task.csv,12.0,1156.5516666666665,0.5833333333333334,31.0,121.0,721.0,28375.0,369.0,0.0,182.0,56.4,True,True,True,True,True,True
ignorant,session_20260520_170354_7f6034,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034,0.0,0.0,15.0,86.0,0.0,0.0,0.0,90.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034/raw/dual_task.csv,5.0,1453.066,0.8,16.0,61.0,361.0,619.0,14.0,15.0,139.0,28.2,True,True,True,True,True,True
ladabos,session_20260528_093705_7f659b,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b,50.0,0.0,4.0,50.0,30.0,13.0,13.0,0.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b/labels/dual_task.csv (empty),,,,16.0,61.0,361.0,8.0,22.0,0.0,33.0,8.9,True,True,False,True,False,True
layss,session_20260513_110323_584cf7,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7/labels/dual_task.csv (empty),,,,7.0,25.0,145.0,9832.0,586.0,0.0,42.0,12.0,True,True,True,True,False,True
layss,session_20260525_111948_83ef24,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_111948_83ef24,80.0,20.0,0.0,0.0,72.0,7.0,4.0,50.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_111948_83ef24/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_111948_83ef24/labels/dual_task.csv (empty),,,,15.0,60.0,360.0,13564.0,262.0,0.0,34.0,30.0,True,True,True,True,False,True
layss,session_20260525_115401_a789a3,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_115401_a789a3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11.0,16.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_115401_a789a3/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_115401_a789a3/labels/dual_task.csv (empty),,,,16.0,61.0,361.0,13255.0,66.0,0.0,76.0,30.0,True,True,True,True,False,True
layss,session_20260525_133940_df428b,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_133940_df428b,0.0,0.0,67.0,0.0,0.0,62.0,10.0,6.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_133940_df428b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_133940_df428b/labels/dual_task.csv (empty),,,,11.0,41.0,241.0,13614.0,126.0,0.0,56.0,19.9,True,True,True,True,False,True
layss,session_20260525_223533_1be900,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_223533_1be900,10.0,0.0,3.0,5.0,4.0,3.0,1.0,92.0,5.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_223533_1be900/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260525_223533_1be900/raw/dual_task.csv,6.0,287.34166666666664,0.16666666666666666,15.0,60.0,360.0,8849.0,490.0,0.0,36.0,30.0,True,True,True,True,True,True
mohanned,session_20260511_184052_938a4e,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260511_184052_938a4e,58.0,35.0,60.0,60.0,57.0,44.0,57.0,59.0,69.0,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260511_184052_938a4e/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260511_184052_938a4e/labels/dual_task.csv (empty),,,,16.0,61.0,361.0,39616.0,2070.0,0.0,308.0,29.9,True,True,True,True,False,True
mohanned,session_20260516_091611_f4cecf,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260516_091611_f4cecf,13.0,12.0,3.0,5.0,5.0,11.0,7.0,5.0,5.0,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260516_091611_f4cecf/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/mohanned/session_20260516_091611_f4cecf/raw/dual_task.csv,7.0,893.9685714285715,0.5714285714285714,,,,22588.0,189.0,0.0,111.0,30.0,True,False,True,True,True,False
oussama,data,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
